name,category,spanish,participation,country,region,season,summary,ages,price,nationality,validity,website,facebook,source,host,references
Bansko Town (base city),organic,False,,Bulgaria,Bansko,Best Dec-Apr,A family-gathering destination in Bansko.,All,Low cost of living,UK / Dutch / Israeli,High,theworldschoolatlas.com/listing/bansko-town/,,web research (Worldschool Atlas),,Website: https://theworldschoolatlas.com/listing/bansko-town/ ; Worldschool Atlas directory: https://theworldschoolatlas.com/ ; Parenting&Passports — Bansko (R8): https://parentingandpassports.com/worldschooling-community-bansko-bulgaria/ ; Education Next — Bansko (R12): https://www.educationnext.in/posts/bansko-the-world-schooling-capital-of-the-world ; TRVbox (HE) — Bansko with kids (R94): https://www.trvbox.co.il/bansko-with-kids/
Cyprus (Limassol/Larnaca),organic,False,family,Cyprus,Limassol,Year-round,"Relocation-grade Israeli nesting base (~800 families Limassol/~400 Larnaca) with British/IB schools, Hebrew daycares and Chabad—year-round.",,,Israeli + British + Russian,High,,,web research (gathering-places + Spanish cut + traveling),,Ynet (HE) — Limassol (R27): https://www.ynet.co.il/news/article/yokra14738200 ; Times of Israel — ~800 families (R30): https://www.timesofisrael.com/
Goa (Arambol/Mandrem),organic,False,family,India,Arambol,Nov–Mar,"Long-running Israeli (Arambol) and Russian (Morjim) winter-nesting coast in India with Hebrew kindergartens and beach playgroups, Nov–Mar.",,,Israeli + Russian,High,,,web research (gathering-places + Spanish cut + traveling),,Education Next — Goa (R13): https://www.educationnext.in/posts/goa-a-paradise-for-worldschooling-families-with-a-global-flair ; Tablet — Lost in Goa (R104): https://www.tabletmag.com/sections/news/articles/lost-in-goa
Hakuba International (term/year),organic,False,family,Japan,"Hakuba Mura, Nagano",Short or long term; ski season,Homeschool families join an international school for a term/year. Mountain town.,School-age,Varies,,web candidate (Medium),theworldschoolatlas.com/listing/hakuba-japan...,,web research (Worldschool Atlas),,Website: https://theworldschoolatlas.com/listing/hakuba-japan... ; Worldschool Atlas directory: https://theworldschoolatlas.com/
Kuala Lumpur,organic,False,family,Malaysia,KL,Year-round,Year-round Malaysian city repeatedly named the best SE-Asia base for homeschooling community and flexible long stays.,,,Mixed intl,High,,,web research (gathering-places + Spanish cut + traveling),,Parenting&Passports — KL (R2): https://parentingandpassports.com/worldschooling-slow-travel-southeast-asia/
Penang,organic,False,family,Malaysia,Penang,Year-round,"Stable Malaysian 'school base' for SE-Asia slow travel, with deep German and British expat societies.",,,German + British,Med,,,web research (gathering-places + Spanish cut + traveling),,TraveLynn Family — Penang (R44): https://www.travelynnfamily.com/
Worldschoolers in Kuala Lumpur,organic,False,family,Malaysia,Kuala Lumpur,Year round,Year-round Malaysian city repeatedly named the best SE-Asia base for homeschooling community and flexible long stays.,"{""min"": 5, ""note"": ""5+""}",Free,,from PDF,,https://www.facebook.com/WorldschoolersinKualaLumpur,PDF (June-2026 listing),,Facebook / Instagram: https://www.facebook.com/WorldschoolersinKualaLumpur ; Worldschooling Hubs Worldwide (Listing) — June 2026  ·  manual_sources/:  ; Parenting&Passports — KL (R2): https://parentingandpassports.com/worldschooling-slow-travel-southeast-asia/
Lisbon / Cascais,organic,False,family,Portugal,Lisbon,Year-round,"Safe, walkable EU base; a US/British international scene plus a growing Israeli relocation cluster around Cascais/Lisbon.",,,US/British + Israeli,Med,,,web research (gathering-places + Spanish cut + traveling),,Vital & Omer (HE) — Cascais/Lisbon (R98): https://vitalandomer.co.il/kids
Bliss Hubs Pai,organic,False,family,Thailand,Pai (northern highlands),Nov–early Feb,Confirmed Israeli families + Israeli 'forest school' moved from Goa to Pai. Free community hub.,All,Free (WhatsApp self-organized),Israeli,High,blissinvestor.com/community/world-schoolers-in-pai-thailand/,facebook.com/groups/worldschoolersinthailand,web research (Bliss Hubs; Times of Israel),Bliss Investor,Website: https://blissinvestor.com/community/world-schoolers-in-pai-thailand/ ; Facebook / Instagram: https://facebook.com/groups/worldschoolersinthailand ; Bliss Hubs directory: https://blissinvestor.com/ ; Bangkok Post — Pai nationalities (R105): https://www.bangkokpost.com/thailand/general/2964833/israelis-under-immigration-microscope-in-pai
Chiang Mai,organic,False,family,Thailand,Chiang Mai,Nov–early Feb,"Decade-old SE-Asia family base with cafes, meetups and an intl/Israeli scene; families leave Feb–Apr for the burning season.",,,Intl + Israeli,High,,,web research (gathering-places + Spanish cut + traveling),,Worldly Tribe — Chiang Mai families (R6): https://worldlytribe.com/family-friendly-guide-to-living-in-chiang-mai-thailand-for-digital-nomads/ ; Maariv (HE) — Israeli families Chiang Mai (R32): https://www.maariv.co.il/news/world/article-1251250
